buyer_id,date,hour,spend
13,5/29/18,0,$4.67 
13,5/29/18,1,$7.04 
13,5/29/18,2,$7.73 
13,5/29/18,3,$9.43 
13,5/29/18,4,$5.30 
13,5/29/18,5,$3.58 
13,5/29/18,6,$2.22 
13,5/29/18,7,$1.29 
13,5/29/18,8,$1.04 
13,5/29/18,9,$1.16 
13,5/29/18,10,$1.59 
13,5/29/18,11,$2.20 
13,5/29/18,12,$2.80 
13,5/29/18,13,$3.92 
13,5/29/18,14,$4.17 
13,5/29/18,15,$4.19 
13,5/29/18,16,$4.01 
13,5/29/18,17,$4.89 
13,5/29/18,18,$5.54 
13,5/29/18,19,$5.58 
13,5/29/18,20,$5.61 
13,5/29/18,21,$5.19 
13,5/29/18,22,$5.15 
13,5/29/18,23,$5.32 
13,5/30/18,0,$6.30 
13,5/30/18,1,$7.57 
13,5/30/18,2,$6.33 
13,5/30/18,3,$7.06 
13,5/30/18,4,$2.83 
13,5/30/18,5,$2.30 
13,5/30/18,6,$1.63 
13,5/30/18,7,$1.01 
13,5/30/18,8,$0.80 
13,5/30/18,9,$0.96 
13,5/30/18,10,$1.92 
13,5/30/18,11,$2.97 
13,5/30/18,12,$4.46 
13,5/30/18,13,$5.39 
13,5/30/18,14,$5.82 
13,5/30/18,15,$7.02 
13,5/30/18,16,$7.89 
13,5/30/18,17,$8.10 
13,5/30/18,18,$7.76 
13,5/30/18,19,$7.30 
13,5/30/18,20,$14.93 
13,5/30/18,21,$10.31 
13,5/30/18,22,$7.02 
13,5/30/18,23,$6.19 
13,5/31/18,0,$25.75 
13,5/31/18,1,$13.45 
13,5/31/18,2,$13.69 
13,5/31/18,3,$12.68 
13,5/31/18,4,$9.16 
13,5/31/18,5,$3.51 
13,5/31/18,6,$2.01 
13,5/31/18,7,$1.53 
13,5/31/18,8,$1.21 
13,5/31/18,9,$1.19 
13,5/31/18,10,$1.81 
13,5/31/18,11,$2.99 
13,5/31/18,12,$4.67 
13,5/31/18,13,$6.15 
13,5/31/18,14,$8.33 
13,5/31/18,15,$7.35 
13,5/31/18,16,$7.24 
